y  brand level
16 lion  medium
37 lion  medium
15 lion  medium
16 lion  medium
19 lion  high
18 lion  high
18 lion  high
23 lion  high
39 puff  medium
38 puff  medium
39 puff  medium
37 puff  medium
16 puff  high
17 puff  high
18 puff  high
17 puff  high
15 mart  medium
44 mart  medium
44 mart  medium
43 mart  medium
16 mart  high
19 mart  high
22 mart  high
20 mart  high
